game_id,season,date,home_team,away_team,home_conf,away_conf,home_win,home_pts,home_fgm,home_fga,home_fg_pct,home_fg3m,home_fg3a,home_fg3_pct,home_ftm,home_fta,home_ft_pct,home_oreb,home_dreb,home_reb,home_ast,home_stl,home_blk,home_tov,home_pf,home_pace,home_off_rating,home_def_rating,away_pts,away_fgm,away_fga,away_fg_pct,away_fg3m,away_fg3a,away_fg3_pct,away_ftm,away_fta,away_ft_pct,away_oreb,away_dreb,away_reb,away_ast,away_stl,away_blk,away_tov,away_pf,away_pace,away_off_rating,away_def_rating
2019_0000,2019-20,2019-10-22,WAS,UTA,East,West,1,116,41,93,0.441,19,44,0.432,15,20,0.75,10,32,42,21,6,7,17,18,101.5,95.7,115.0,103,37,89,0.416,13,37,0.351,16,22,0.727,8,31,39,25,9,3,14,20,92.6,98.9,112.5
2019_0001,2019-20,2019-10-22,CHA,PHI,East,East,0,108,42,91,0.462,15,39,0.385,9,12,0.75,10,30,40,28,6,4,12,20,100.6,112.4,107.7,110,41,91,0.451,16,41,0.39,12,15,0.8,6,37,43,33,9,1,17,26,97.6,114.2,109.5
2019_0002,2019-20,2019-10-22,CHI,BOS,East,East,1,116,44,94,0.468,18,52,0.346,10,13,0.769,3,32,35,31,8,5,19,19,99.1,108.6,107.9,98,36,85,0.424,13,36,0.361,13,16,0.812,10,34,44,28,5,5,11,24,103.8,113.4,108.5
2019_0003,2019-20,2019-10-22,OKC,PHX,West,West,0,104,37,85,0.435,13,34,0.382,17,21,0.81,11,27,38,27,12,6,14,16,96.8,115.5,108.1,113,41,95,0.432,12,31,0.387,19,24,0.792,11,32,43,26,5,4,15,18,101.4,113.9,110.6
2019_0004,2019-20,2019-10-22,MIL,GSW,East,West,0,99,37,84,0.44,11,30,0.367,14,19,0.737,8,31,39,31,9,2,8,23,107.4,102.4,108.2,114,43,89,0.483,8,30,0.267,20,29,0.69,6,30,36,33,8,6,14,18,98.4,103.5,113.8
2019_0005,2019-20,2019-10-22,HOU,ATL,West,East,0,95,37,81,0.457,12,36,0.333,9,12,0.75,7,34,41,26,8,3,15,15,101.9,106.1,104.1,108,40,91,0.44,14,38,0.368,14,18,0.778,12,30,42,25,6,3,9,16,94.5,100.6,108.9
2019_0006,2019-20,2019-10-22,BKN,MEM,East,West,1,111,39,90,0.433,19,45,0.422,14,22,0.636,12,27,39,30,9,7,15,18,100.2,100.8,108.6,105,38,88,0.432,19,50,0.38,10,14,0.714,12,31,43,25,9,1,14,19,98.6,104.8,114.5
2019_0007,2019-20,2019-10-22,MIA,TOR,East,East,0,104,41,86,0.477,12,37,0.324,10,15,0.667,6,34,40,24,4,5,18,18,98.8,111.7,112.1,109,41,83,0.494,14,43,0.326,13,18,0.722,8,36,44,26,9,6,19,16,94.8,106.3,114.1
2019_0008,2019-20,2019-10-23,DEN,NOP,West,West,1,114,41,90,0.456,11,34,0.324,21,28,0.75,14,36,50,27,5,6,12,16,101.1,103.1,100.8,108,42,99,0.424,13,34,0.382,11,15,0.733,13,33,46,27,8,3,14,18,101.5,98.6,111.9
2019_0009,2019-20,2019-10-23,SAC,PHX,West,West,0,92,33,75,0.44,9,29,0.31,17,21,0.81,9,34,43,27,9,4,14,20,99.7,106.2,116.4,105,39,79,0.494,13,37,0.351,14,18,0.778,7,34,41,26,5,3,16,19,98.4,107.8,97.7
2019_0010,2019-20,2019-10-23,UTA,BKN,West,East,1,116,41,92,0.446,17,48,0.354,17,23,0.739,9,31,40,15,9,4,12,20,97.7,104.8,107.1,104,39,86,0.453,8,28,0.286,18,25,0.72,10,33,43,22,5,6,19,20,101.5,104.8,110.8
2019_0011,2019-20,2019-10-23,SAC,LAC,West,West,0,94,33,83,0.398,15,41,0.366,13,17,0.765,12,34,46,19,7,6,15,21,101.0,102.8,107.5,118,44,92,0.478,11,32,0.344,19,27,0.704,13,38,51,34,7,5,16,22,101.0,104.0,107.0
2019_0012,2019-20,2019-10-23,SAC,CHA,West,East,0,101,37,82,0.451,13,44,0.295,14,18,0.778,10,31,41,22,5,6,13,25,103.4,108.7,113.5,124,47,88,0.534,12,35,0.343,18,22,0.818,6,35,41,21,8,4,7,21,100.2,109.6,105.8
2019_0013,2019-20,2019-10-23,ORL,UTA,East,West,1,116,44,91,0.484,10,32,0.312,18,21,0.857,11,31,42,26,4,6,18,25,101.1,108.4,104.8,104,34,73,0.466,14,36,0.389,22,29,0.759,10,32,42,22,8,4,13,19,102.2,102.8,108.5
2019_0014,2019-20,2019-10-23,DEN,BKN,West,East,1,118,42,93,0.452,11,33,0.333,23,27,0.852,6,30,36,24,7,6,11,16,102.7,109.0,106.7,113,40,90,0.444,15,48,0.312,18,25,0.72,7,32,39,30,8,4,15,20,100.4,105.0,117.3
2019_0015,2019-20,2019-10-23,GSW,CHA,West,East,0,121,48,98,0.49,13,39,0.333,12,16,0.75,7,35,42,31,6,6,11,19,98.5,105.7,115.3,123,45,93,0.484,13,41,0.317,20,24,0.833,10,39,49,33,6,3,11,15,97.6,102.0,109.8
2019_0016,2019-20,2019-10-24,MIL,ORL,East,East,0,100,37,87,0.425,11,34,0.324,15,20,0.75,7,36,43,29,4,1,17,16,98.4,114.8,101.3,112,40,88,0.455,13,35,0.371,19,24,0.792,8,35,43,22,5,4,11,23,100.6,103.3,115.2
2019_0017,2019-20,2019-10-24,PHX,HOU,West,West,0,102,36,85,0.424,13,39,0.333,17,23,0.739,6,37,43,28,6,5,16,18,97.4,113.6,106.8,114,38,87,0.437,12,40,0.3,26,32,0.812,11,35,46,26,6,5,11,21,99.1,112.1,108.1
2019_0018,2019-20,2019-10-24,DET,POR,East,West,0,117,43,95,0.453,13,36,0.361,18,23,0.783,9,30,39,21,6,3,11,23,102.6,115.9,101.2,123,41,87,0.471,16,41,0.39,25,32,0.781,15,31,46,32,6,4,13,19,98.9,106.1,115.1
2019_0019,2019-20,2019-10-24,LAC,OKC,West,West,1,123,45,91,0.495,13,35,0.371,20,24,0.833,8,36,44,18,6,5,18,16,100.3,106.3,116.7,108,41,96,0.427,11,36,0.306,15,19,0.789,9,38,47,30,6,4,10,17,102.4,113.8,99.9
2019_0020,2019-20,2019-10-24,CHA,DAL,East,West,1,109,39,88,0.443,13,36,0.361,8,10,0.667,15,32,47,15,4,8,11,23,101.1,111.6,104.4,97,34,80,0.425,9,30,0.3,20,26,0.769,13,34,47,27,7,4,19,17,100.4,103.9,116.8
2019_0021,2019-20,2019-10-24,DAL,OKC,West,West,0,99,38,88,0.432,12,33,0.364,11,17,0.647,7,33,40,30,6,5,13,23,102.3,113.2,118.2,112,43,91,0.473,14,40,0.35,12,18,0.667,8,42,50,24,3,6,15,23,103.5,118.8,98.2
2019_0022,2019-20,2019-10-24,DET,HOU,East,West,0,105,36,83,0.434,14,35,0.4,19,24,0.792,5,31,36,19,9,7,15,17,101.4,120.8,112.7,109,39,85,0.459,10,36,0.278,21,28,0.75,8,37,45,20,4,6,19,18,104.4,110.1,107.7
2019_0023,2019-20,2019-10-25,MEM,ORL,West,East,0,99,40,87,0.46,10,31,0.323,9,12,0.75,9,34,43,25,9,2,9,21,99.9,103.6,111.5,105,40,89,0.449,13,43,0.302,12,17,0.706,7,34,41,26,9,2,13,16,93.9,110.3,104.4
2019_0024,2019-20,2019-10-25,LAC,NYK,West,East,1,119,47,97,0.485,10,34,0.294,15,21,0.714,6,34,40,25,11,4,15,18,99.4,117.9,113.4,107,41,89,0.461,12,42,0.286,13,17,0.765,8,34,42,15,12,4,17,18,102.6,111.2,103.0
2019_0025,2019-20,2019-10-25,CHA,MIN,East,West,1,124,42,87,0.483,17,48,0.354,23,31,0.742,12,37,49,23,6,6,12,17,101.2,117.7,114.6,120,43,91,0.473,13,34,0.382,21,27,0.778,11,31,42,26,5,4,8,15,97.9,109.7,112.6
2019_0026,2019-20,2019-10-25,IND,SAS,East,West,1,115,41,88,0.466,11,34,0.324,22,29,0.759,9,34,43,23,6,3,12,22,99.4,104.2,115.1,104,38,91,0.418,13,36,0.361,15,22,0.682,13,31,44,27,7,6,20,16,98.1,112.6,108.3
2019_0027,2019-20,2019-10-25,ORL,NYK,East,East,1,113,43,92,0.467,15,38,0.395,12,16,0.75,8,36,44,17,7,5,11,18,98.1,111.5,106.2,111,42,93,0.452,12,33,0.364,15,19,0.789,8,33,41,29,7,6,13,25,100.0,115.6,104.6
2019_0028,2019-20,2019-10-25,GSW,LAL,West,West,0,109,40,88,0.455,12,31,0.387,17,23,0.739,8,34,42,26,7,1,13,15,104.7,106.0,112.8,115,39,86,0.453,13,39,0.333,24,32,0.75,10,36,46,32,6,4,17,22,99.4,107.2,102.5
2019_0029,2019-20,2019-10-25,MIA,CLE,East,East,0,99,40,88,0.455,9,32,0.281,10,13,0.769,6,30,36,24,2,6,6,19,103.2,105.1,116.9,122,44,89,0.494,12,33,0.364,22,29,0.759,10,36,46,22,3,5,16,15,100.0,113.7,108.6
2019_0030,2019-20,2019-10-25,ORL,LAL,East,West,0,111,39,86,0.453,10,33,0.303,23,30,0.767,8,33,41,27,7,4,11,18,102.0,113.4,102.1,121,45,95,0.474,10,35,0.286,21,29,0.724,12,35,47,24,6,2,14,21,98.2,114.2,103.9
2019_0031,2019-20,2019-10-26,HOU,LAL,West,West,1,103,36,88,0.409,12,34,0.353,19,26,0.731,15,28,43,23,7,4,9,21,96.7,111.7,110.2,100,35,79,0.443,13,37,0.351,17,22,0.773,8,34,42,28,7,3,10,22,101.1,113.1,110.0
2019_0032,2019-20,2019-10-26,MIL,DET,East,East,1,120,44,87,0.506,14,40,0.35,18,25,0.72,8,30,38,26,8,4,11,19,104.2,114.6,114.4,95,34,80,0.425,10,28,0.357,17,22,0.773,11,37,48,24,8,2,17,16,98.5,113.0,106.4
2019_0033,2019-20,2019-10-26,IND,ORL,East,East,1,111,39,89,0.438,12,29,0.414,21,24,0.875,7,36,43,27,6,7,13,18,97.9,104.0,106.7,106,36,82,0.439,14,39,0.359,20,25,0.8,9,32,41,28,9,6,11,21,89.6,111.2,102.9
2019_0034,2019-20,2019-10-26,CLE,IND,East,East,0,92,35,91,0.385,10,33,0.303,12,16,0.75,13,36,49,24,9,3,9,22,100.3,117.0,103.5,102,34,79,0.43,16,38,0.421,18,23,0.783,8,35,43,24,4,6,17,22,101.7,103.3,110.2
2019_0035,2019-20,2019-10-26,OKC,CLE,West,East,1,128,46,93,0.495,14,41,0.341,22,27,0.815,8,36,44,24,8,3,9,23,100.1,111.4,97.9,115,41,87,0.471,11,34,0.324,22,29,0.759,11,36,47,21,7,6,19,20,102.8,114.1,111.5
